Code,Name,Description
ADAWESF,"Awol Or Escapee Returns, Combined, Female (1979-1998)","Between January 1 and December 31, how many sentenced inmates under your jurisdiction were admitted as -- g. AWOL returns, with or without new sentences - Include all returns from AWOL. AWOL is defined as failure to return from authorized temporary absences such as work furlough, study release, mercy furlough, or other authorized temporary absence - Female"
ADAWESM,"Awol Or Escapee Returns, Combined, Male (1979-1998)","Between January 1 and December 31, how many sentenced inmates under your jurisdiction were admitted as -- g. AWOL returns, with or without new sentences - Include all returns from AWOL. AWOL is defined as failure to return from authorized temporary absences such as work furlough, study release, mercy furlough, or other authorized temporary absence - Male"
ADAWOLF,"Awol Returns, With Or Without New Sentences, Female (1978, 1999-Current","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were admitted as -- e. AWOL returns, with or without new sentences - Female"
ADAWOLM,"Awol Returns, With Or Without New Sentences, Male (1978, 1999-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were admitted as -- e. AWOL returns, with or without new sentences - Male"
ADCRNEWF,"Other Conditional Release Violators Admitted With New Sentence, Female (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were admitted as -- c. Other conditional release violators (Include returns from mandatory release other than parole.) (1) with a new sentence - Female"
ADCRNEWM,"Other Conditional Release Violators Admitted With New Sentence, Male (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were admitted as -- c. Other conditional release violators (Include returns from mandatory release other than parole.) (1) with a new sentence - Male"
ADCRNOF,"Other Conditional Release Violators Admitted Without New Sentence, Female (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were admitted as -- c. Other conditional release violators (Include returns from mandatory release other than parole.) (2) without a new sentence - Female"
ADCRNOM,"Other Conditional Release Violators Admitted Without New Sentence, Male (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were admitted as -- c. Other conditional release violators (Include returns from mandatory release other than parole.) (2) without a new sentence - Male"
ADDRACEF,"Additional/Other Categories For Race, Female (1978-Current)","On December 31, how many inmates under your jurisdiction were - h. Additional categories in your information system - Specify - Female"
ADDRACEM,"Additional/Other Categories For Race, Male (1978-Current)","On December 31, how many inmates under your jurisdiction were - h. Additional categories in your information system - Specify - Male"
ADESCAPF,"Escapee Returns, With Or Without New Sentences, Female (1978, 1999-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were admitted as -- f. Escapee returns, with or without new sentences - Female"
ADESCAPM,"Escapee Returns, With Or Without New Sentences, Male (1978, 1999-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were admitted as -- f. Escapee returns, with or without new sentences - Male"
ADHIVTST,"Composite Variable For Responses To Adhivall, Adhivdec, Adhivkno, Adhivhr, Adhivoth, Adhivdk (2011-Current)","On December 31, which of the following best described HIV testing among inmates entering your facilities? (Check only one). Include all testing done upon entry such as during the intake process, reception or shortly thereafter."
ADOTHF,"Other Admissions, Female (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were admitted as -- h. Other admissions - Specify - Female"
ADOTHM,"Other Admissions, Male (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were admitted as -- h. Other admissions - Specify - Male"
ADRETF,"Returns From Appeal Or Bond, Female (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were admitted as -- g. Returns from appeal or bond (Include all inmates reinstated after long-term absences more than 30 days) - Female"
ADRETM,"Returns From Appeal Or Bond, Male (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were admitted as -- g. Returns from appeal or bond (Include all inmates reinstated after long-term absences more than 30 days) - Male"
ADTOTF,"Total Admissions, Female (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were admitted as -- i. Total admissions January 1, - December 31 - Female"
ADTOTM,"Total Admissions, Male (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were admitted as -- i. Total admissions January 1, - December 31 - Male"
ADTRANSF,"Transfers Admitted From Other Jurisdictions, Female (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were admitted as -- d. Transfers from other jurisdictions (Include inmates received from other jurisdictions to continue sentences already in force) - Female"
ADTRANSM,"Transfers Admitted From Other Jurisdictions, Male (1978-Current)","Between January 1, and December 31, how many inmates sentenced to more than 1 year under your jurisdiction were admitted as -- d. Transfers from other jurisdictions (Include inmates received from other jurisdictions to continue sentences already in force) - Male"
AIANF,American Indian Or Alaska Native Female (1978-Current),"On December 31, how many inmates under your jurisdiction were - d. American Indian/Alaska Native (not of Hispanic origin.) - Female"
AIANM,American Indian Or Alaska Native Male (1978-Current),"On December 31, how many inmates under your jurisdiction were - d. American Indian/Alaska Native (not of Hispanic origin.) - Male"
AIDSCONF,"Confirmed To Have Aids, Female (1991-Current)","On December 31, how many inmates under your custody were -- Include all inmates under your custody regardless of sentence length c. Confirmed to have AIDS - Female"
AIDSCONM,"Confirmed To Have Aids, Male (1991-Current)","On December 31, how many inmates under your custody were -- Include all inmates under your custody regardless of sentence length c. Confirmed to have AIDS - Male"
AIDSCONT,"Confirmed To Have Aids, Total (1991-1998)","On December 31, how many inmates under your custody were -- Include all inmates under your custody regardless of sentence length c. Confirmed to have AIDS - Total"
APIF,Asian Or Pacific Islander Female (1978-1996),"On December 31, how many inmates under your jurisdiction were - Asian or Pacific Islander - Female"
APIM,Asian Or Pacific Islander Male (1978-1996),"On December 31, how many inmates under your jurisdiction were - Asian or Pacific Islander - Male"
ASIANF,Asian Female (1997-Current),"On December 31, how many inmates under your jurisdiction were - e. Asian (not of Hispanic origin.) - Female"
ASIANM,Asian Male (1997-Current),"On December 31, how many inmates under your jurisdiction were - e. Asian (not of Hispanic origin.) - Male"
BLACKF,Black Female (1978-Current),"On December 31, how many inmates under your jurisdiction were - b. Black or African American (not of Hispanic origin) - Female"
BLACKM,Black Male (1978-Current),"On December 31, how many inmates under your jurisdiction were - b. Black or African American (not of Hispanic origin) - Male"
CAPDESF,"Design Capacity, Female (1999-Current)","On December 31, what was the capacity of your prison system? (Exclude capacity of private facilities.) c. Design capacity (The number of inmates that planners or architects intended for all institutions within your jurisdiction) - Female"
CAPDESM,"Design Capacity, Male (1999-Current)","On December 31, what was the capacity of your prison system? (Exclude capacity of private facilities.) c. Design capacity (The number of inmates that planners or architects intended for all institutions within your jurisdiction) - Male"
CAPDEST,"Design Capacity, Total (1983-1998)",0
CAPOPF,"Operational Capacity, Female (1999-Current)","On December 31, what was the capacity of your prison system? (Exclude capacity of private facilities.) b. Operational capacity (The number of inmates that can be accommodated based on staff, existing programs, and services in institutions within your jurisdiction) - Female"
CAPOPM,"Operational Capacity, Male (1999-Current)","On December 31, what was the capacity of your prison system? (Exclude capacity of private facilities.) b. Operational capacity (The number of inmates that can be accommodated based on staff, existing programs, and services in institutions within your jurisdiction) - Male"
CAPOPT,"Operational Capacity, Total (1983-1998)",
CAPRATEF,"Rated Capacity, Female (1999-Current)","On December 31, what was the capacity of your prison system? (Exclude capacity of private facilities.) a. Rated capacity (The number of beds or inmates assigned by rating officials to institutions within your jurisdiction) - Female"
CAPRATEM,"Rated Capacity, Male (1999-Current)","On December 31, what was the capacity of your prison system? (Exclude capacity of private facilities.) a. Rated capacity (The number of beds or inmates assigned by rating officials to institutions within your jurisdiction) - Male"
CAPRATET,"Rated Capacity, Total (1983-1998)",
CITZGT1F,"U.S. Citizens Sentenced To More Than 1 Year In Custody As Well As Those In Private Prison Facilities, Female (2019-2020)","On December 31, how many inmates in your custody who were citizens of the United States, plus those held in private prisons who were citizens of the United States -- a. Had a sentence of more than 1 year - Female"
CITZGT1M,"U.S. Citizens Sentenced To More Than 1 Year In Custody As Well As Those In Private Prison Facilities, Male (2019-2020)","On December 31, how many inmates in your custody who were citizens of the United States, plus those held in private prisons who were citizens of the United States -- a. Had a sentence of more than 1 year - Male"
CITZLE1F,"U.S. Citizens Sentenced To 1 Year Or Less In Custody As Well As Those In Private Prison Facilities, Female (2019-2020)","On December 31, how many inmates in your custody who were citizens of the United States, plus those held in private prisons who were citizens of the United States -- b. Had a sentence of 1 year of less - Female"
CITZLE1M,"U.S. Citizens Sentenced To 1 Year Or Less In Custody As Well As Those In Private Prison Facilities, Male (2019-2020)","On December 31, how many inmates in your custody who were citizens of the United States, plus those held in private prisons who were citizens of the United States -- b. Had a sentence of 1 year of less - Male"
